Id,Label,Note,Subjects,Subjects_Primary,Versification,_description,Macaronic,Author(s),Author confidence,Title(s),Bibliographic Ghosts,Type,n_witnesses
DIMEV 4198,Of one that is so fair and bright,"For a fifteenth-century version, see 88.","carols, to Virgin Mary;carols, to Virgin Mary",carols,— nine-line stanza — ababccdcd,A macaronic song in praise of the Virgin Mary — five 9-line stanzas (ababccdcd),Latin,,,,,Text,3
DIMEV 4208,Of serving men I will begin,"See 2407; ‘Troly, loley’ refrain is 2nd and 4th line of each stanza.","servants, praise of;carols, amorous;women, as speakers/narrators",servants;carols;women,— four-line — abab,In Praise of Serving Men — eight quatrains (abab) and 4-line burden: ‘So well ys me begone / Troly lole’ (repeated),,,,,,Text,1
DIMEV 4235,Of this martyr make we mend,,"carols, to saints;Stephen, saint",carols;Stephen,— four-line — abab,A song for St. Stephen’s Day — three macaronic quatrains (abab) and burden (bb): ‘Eya martir stephane / Prey for vs we prey to þe’,Latin,,,,,Text,1
DIMEV 4252,Omnes gentes plaudite / Car nostre saueyour est ne,,"carols, Nativity",carols,— four-line — aaab,"A macaronic carol of the Nativity in Latin, French, and English — five quatrains (aaab) and burden: ‘Nouo profusi gaudio / Benedicamus domino’","Latin, French",,,,,Text,1
DIMEV 4260,On Christmas day in the morn,"For another version, see 21.","carols, lullaby",carols,— four-line — aaab,"The life of Christ, a lullaby carol — nine quatrains (aaab) with refrain, ‘Sweet Jesus is his name’ and four-line burden (cccb): ‘This babe was born I wis / To be the king of bliss / Our Saviour as he is / Sweet Iesus is his name’",,,,,,Text,1
DIMEV 4261,On Christs day I understand,,"carols, of the Eucharist;Christ, attributes of",carols;Christ,— four-line — aaab,"A song of Christ, an Ear of Wheat — five quatrains (aaab) and burden (bb): ‘A blessid byrd as I you say / Þat dyed & rose on good fryday’",,,,,,Text,1
DIMEV 4278,On twelfth day came kings three,,"carols, Epiphany",carols,— four-line — aaab,"James Ryman, an Epiphany carol — six quatrains (aaab) and burden (bb): ‘Beholde to you gret joy I bring / For owe is born crist heuen king’",,James Ryman,,,,Text,1
DIMEV 4279,On twelfth day this star so clear,,"carols, Epiphany",carols,— six-line — ababcc,"James Ryman, an Epiphany carol — twelve 6-line stanzas (ababcc) including refrain, ‘This sterre that day tho went away / ffro that swete place where Ihesus lay’ and burden: ‘A sterre shone bright on xii day / Ouer þat place where Ihesus lay’",,James Ryman,,,,Text,1
DIMEV 4317,Our king went forth to Normandy,,"carols, political;France, expedition to (1415)",carols;France,— five-line — aaaab,"The Agincourt Carol — six 5-line stanzas (aaaab) including refrain: ‘Deo gracias’, and burden (cc): ‘Deo gracias Anglia / Redde pro victoria’",,,,The Agincourt Carol,,Text,2
DIMEV 4329,Our ship is launched from the ground,,"political poems;carols, political",political poems;carols,— eight-line — aaabcccb,"‘De Navi vel Puppe. A.D. 1458’, political verses on the State by a Lancastrian — two 4-line stanzas (aaab) plus burden (b): ‘Stere well the good shype God be our gyde’",,,,‘De Navi vel Puppe. A.D. 1458’,,Text,1
DIMEV 4333,Out of the blossom sprang a thorn,For a variant see 5566.,"carols, Epiphany",carols,— four-line — aaab,"An Epiphany carol — twelve quatrains (aaab) with refrain element, ‘…his moder Marie’, burden lacking",,,,,,Text,1
DIMEV 4334,Out of the chaff was pured this corn,,"carols, to saints;Thomas of Canterbury, saint",carols;Thomas of Canterbury,— six-line — aaabbb,A song in honour of St. Thomas of Canterbury — two 6-line stanzas (aaabbb) with 3-line ‘O martir Thoma’ refrain and 4-line burden: ‘Clangat tuba martir th[o]m[a] / Vt liberet sic cristi vinea’ (repeated),Latin,,,,,Text,1
DIMEV 4335,Out of the east a star shone bright,,"carols, Epiphany",carols,— four-line — aaab,An Epiphany carol — eight quatrains (aaab) plus burden (bb): ‘Be mery all þat be present / Omnes de saba venient’,Latin,,,,,Text,1
DIMEV 4337,Out of your sleep arise and wake,,"carols, Nativity",carols,— four-line — aaab,A Christmas carol — six five-line stanzas (aaabb) with ‘Nowel’ refrain and burden (b):‘Nowel nowel nowel nowel nowel nowel’,,,,,,Text,2
DIMEV 4338,Out of your sleep arise and wake,,"carols, Nativity",carols,— four-line — aaab,"James Ryman, a Christmas carol — nine quatrains (aaab) with ‘…virgyn marie quene of blis’ refrain and burden (bb): ‘The sonne of god man bicome is / Of virgyn marie quene of blis’",,James Ryman,,,,Text,1
DIMEV 4339,Over all gates that I have gone,,"carols, holly and ivy",carols,— four-line — abab,‘The Ivy-tre’ — nine quatrains (abab) and burden: ‘Nowell nowell ell ell / I pray yow lystyn qwat I yow [tell]’,,,,,,Text,1
DIMEV 4358,Peerless princess of every place,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— six-line — ababcc,"James Ryman, a hymn to the Virgin Mary — eight 6-line stanzas (ababcc) with 2-line refrain, ‘Oure woo þou sease oure joy increse / Graunt us þat pease þat is endlese’ and burden: ‘Vita dulcedo et spes / Nostra maria tu es’",Latin,James Ryman,,,,Text,1
DIMEV 4361,Penny is an hardy knight,"See also 2489; for a Latin version, see Wright (1841) XWright, Thomas. The Latin Poems Commonly Attributed to Walter Mapes. Camden Society o.s. 16 (1841), 226.","carols, satirical;satire;money",carols;satire;money,— four-line — aaab,‘Sir Peny’ — five quatrains (aaab) and burden: ‘Go bet peny go bet go / For þou mat makyn bothe frynd & fo’,,,,‘Sir Peny’,,Text,2
DIMEV 4404,Pride is out and pride is in,,"carols, of moral counsel;sins, deadly",carols;sins,— four-line — aaa,A song against Pride — five quatrains (aaab) and burden (bb): ‘Man be war er þu be wo /Þink on pride & let hym goo’,,,,,,Text,3
DIMEV 4422,Puer natus hodie sit we down…,,"carols, Nativity;Nativity;fragments",carols;Nativity;fragments,— one-line,Fragment of a macaronic Christmas carol,,,,,,Text,1
DIMEV 4439,Rachel that weepeth without consolation,,"carols, Epiphany",carols,— four-line — abcb,"Carol on epiphany, or slaughter of the innocents — two quatrains (abcb) including refrain, ‘Vox in rama audita est’ plus burden: ‘Syng we now þe holy feste / Vox in rama audita est’",,,,,,Text,1
DIMEV 4453,Regina celi letare / For Christ Thy Son so dear,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— eight-line — abababab,"James Ryman, ‘Regina celi letare’, a hymn — three 8-line stanzas and 4-line burden: ‘Regina celi letare / With God and man alsoo / Quem meruisti portare / Withowten peyn and woo’ (alternate Latin and English lines throughout)",Latin,James Ryman,,‘Regina celi letare ’,,Text,1
DIMEV 4508,Robin Hood in Barnesdale stood,,"carols, humorous;nonsense",carols;nonsense,— four-line — unrhymed,"A nonsense carol, six unrhymed quatrains with ‘downe downe downe’ burden",,John Rastell,,,,Text,1
DIMEV 4630,Saint John is Christs darling dear,,"carols, to saints;John the Evangelist, saint",carols;John the Evangelist,— four-line — aaab,"John Audelay, a carol for St. John the Evangelist’s Day — ten quatrains (aaab) and burden: ‘I pray youe breder euerechon / Worchip þis postil swete saynt jon’",,John Audelay,,,,Text,1
DIMEV 4738,Saint Nicholas was of great post,,"carols, to saints;Nicholas, saint",carols;Nicholas,— four-line — aaaa,A carol to St. Nicholas — seven irregular quatrains and burden: ‘Alle maydenis for godes grace / Worchepe ȝe seynt nicolas’,,,,,,Text,1
DIMEV 4760,Saint Stephen the first martyr,,"carols, to saints;Stephen, saint",carols;Stephen,— four-line — aaab,"John Audelay, ‘In die sancti stephani’, — five quatrains (aaab) and burden: ‘In reuerens of oure lord in heuen / Worchip this marter swete sent steuen’",,John Audelay,,,,Text,1
DIMEV 4774,Saluator mundi domine,,"carols, Nativity",carols,— four-line — aaab,A macaronic Christmas carol — five quatrains (aaab) and burden: ‘Alleluya Alleluya deo patri sit gloria’,Latin,,,,,Text,3
DIMEV 4808,Semenaunt is a wonder thing,,"carols, satirical",carols,— four-line — aaab,A song of ‘Seeming’ — six quatrains and burden: ‘I may seyn & so mown mo / Þat in semenaunt goth gyle’,,,,,,Text,1
DIMEV 4825,She is gentle and also wise,,"carols, amorous",carols,— three-line — aab,"On the beauty of his mistress — six 3-line stanzas (including refrain, ‘Þat ever I saw’) and burden: ‘My lady is a prety on / A prety prety prety on / My lady is a prety on / As ever I saw’",,,,,,Text,1
DIMEV 4826,She saw these women all bedene,For similar pieces see 2512 and 6781.,"women, praise of;carols, of women",women;carols,— four-line — aaab,A song in praise of women — six quatrains (aaab) and burden: Pray we to oure lady dere / For here holy grace,,,,,,Text,1
DIMEV 4852,Sinful man thou art unkind,,"Christ, appeal of, to man;carols, of the Passion",Christ;carols,— seven-line — ababccd,The Appeal of Christ to the sinner — six 7-line stanzas (ababccd) with 4-line burden: ‘Blow þe winde styl & blow nat so shyl / My blode man I shed for þe al at wyl / Blowe þe winde styl & blowe nat so shyll / Þis paine to suffre is my fathers wil’,,,,,,Text,0
DIMEV 4877,Sit amongst the knights all,,"carols, of moral counsel;counsel, moral",carols;counsel,— four-line — aaab,Of Discreet Behavior — six quatrains (aaab) with ‘Whatsoeuer ye thynk avyse ye wele’ refrain and burden: ‘He haþ myn hart euery dele / Þat can love true & kepe yt wele’,,,,,,Text,1
DIMEV 4881,Sith Christ hath take both flesh and blood,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — aaab,"James Ryman, A carol to the Virgin Mary — six quatrains (aaab) and burden (bb): ‘O benigna laude digna / tuo nato nos consigna’",Latin,James Ryman,,,,Text,1
DIMEV 4886,Sith God hath chose thee to be his knight,See penultimate line of 5731 for echo of first line here,"Edward IV;carols, political;political poems;occasional verse",Edward IV;carols;political poems;occasional verse,— four-line — aaab,‘Edwardus IV Dei gratia’ — eight quatrains (aaab) including ‘Edwardes dei gracia’ refrain and burden: A a a / Edwardeus dai gracia,,,,Edwardus IV Dei gratia,,Text,1
DIMEV 4898,Sith of right thou mayest not forsake,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — aaab,"James Ryman, An orison to the Virgin Mary — six quatrains (aaab) and burden (bb): ‘O virgo summe decora / Pro nobis cristum exora’",,James Ryman,,,,Text,1
DIMEV 4906,Sith the time I knew you first,,"carols, amorous;lovers, addresses to beloved",carols;lovers,— two-line — aa,‘Why soo vnkende’ — six couplets with three-line burden: ‘Why soo vnkende alas / Why soo vnkende to me / Soo to be kende to me’,,,,,,Text,1
DIMEV 4909,Sith Thou hast born the King of Grace,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — abab,"An orison to the Virgin Mary — six quatrains (abab) with refrain, ‘Ora pro nobis’ and burden: ‘To þe we make oure mone / Moder of crist alone’",,,,,,Text,1
DIMEV 4910,Sith Thou hast born the King of Grace,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — aaab,An orison to the Virgin Mary — five quatrains (aaab) with ‘O dulcis maria’ refrain and burden: ‘O clemens O pia / O dulcis maria’,Latin,,,,,Text,1
DIMEV 4913,Sith Thy Son is both God and man,,"carols, to Virgin Mary;carols, to Virgin Mary",carols,— four-line — aaab,"James Ryman, An orison to the Virgin Mary — six quatrains (aaab) with ‘Tuum precare filium’ refrain and burden: ‘O castitatis lilium / Tuum precare filium’",Latin,James Ryman,,,,Text,1
DIMEV 4930,So blessed a sight it was to see,,"carols, lullaby;dialogues, Virgin and Christ",carols;dialogues,"— four-line, six-line — aaab, ababaa","Dialogue between the Virgin Mary and her Child — eight quatrains aaab and six-line last stanza ababaa with refrain, ‘Myn own dere moder syng lulley’ and burden: ‘Lulley Jhesu lulley lulley / Myn own dere moder syng lulley’",,,,,,Text,1
DIMEV 4955,Solomon the wise he taught in his life,,"marriage, against;carols, satirical",marriage;carols,— five-line — aaaab,"An anti-marital carol — 6 five-line stanzas (aaaab) and burden: ‘All fresche, all fresch, fresch is my song’",,,,,,Text,1
DIMEV 4956,Some be merry and some be sad,,"carols, of women;women",carols;women,— six-line — aaabcb,"Carol on the different kinds of women — six 6-line stanzas (aaabccb) including refrain, ‘Yet all be not so / For sum be lewde & sum be shrewed / Go shrew wher so euer ye go’, and burden (dd): ‘Women women love of women / Makeþ bare pursis wiþ sum men’.",,,,,,Text,3
DIMEV 4971,Some time I loved as ye may see,,"carols, amorous;complaints, lovers’",carols;complaints,— four-line — aaab,A Slighted Lover’s Complaint — nine quatrains (aaab) and burden (b): Who so lyst to loue god send hym right good spede,,,,,,Text,1
DIMEV 4972,Sometime I loved so do I yet,,"carols, amorous",carols,— four-line — aaab,The Delivered Lover — eight quatrains (aaab) and burden (cb): ‘Vp son and mery wether / Somer draweth nere’,,,,,,Text,1
DIMEV 5005,Sore this deer stricken is,"Cf. 6503. See Ringler Jr. (1992) XRingler Jr., William A. Bibliography and Index of English Verse in Manuscript 1501-1558. London: Mansell, 1992; prepared and completed by Michael Rudick and Susan J. Ringler , TM 1455.","carols, amorous",carols,— four-line — abab,"William Cornish, An enigmatic stricken deer carol — six cross-rhymed quatrains with a 3-line burden: ‘Blow þy horn hunter and blow þi horne on hye / Ther ys a do in yonder wode in faith she woll not dy / ow blow þi hore hunter and blow þi horne joly hunter’",,William Cornish,,,,Text,2
DIMEV 5014,Sovereign lord in earth most excellent,,"carols, political;Henry VII",carols;Henry VII,— seven-line — ababbcc,A carol for the king (perhaps Henry VII) — two stanzas rhyme royal and burden: ‘Enforce yourself as goddis knyght / To strenkyþ your comyns in þer ryght’ (repeated),,Edmund Turges,,,,Text,1
DIMEV 5034,Steel is good I say no other,,"women;carols, of women",women;carols,— four-line — aaab,Women compared to steel — five quatrains and burden: ‘War yt war yt war yt wele / Wemen be as trew as stele’,,,,,,Text,1
DIMEV 5057,Sure song in time past hath been doun a doun,,"carols, political;occasional verse;Edward VI",carols;occasional verse;Edward VI,— four-line — aabb,"A ‘ballet’ sung at the Conduit in Cheap in honor of Edward VI, c. 1548 — six long quatrains (aabb) and burden: ‘Syng vp hart syng up hart an[d] syng no more do[w]ne / But joy in king edward þat wereth the crowne’",,,,,,Text,1
DIMEV 5074,Sweet Jesu is come to us,,"carols, Nativity;Christ, life of",carols;Christ,— six-line — aabccb,A nativity carol on life of Jesus — twenty-one 6-line stanzas (aabccb) plus burden: ‘Hey now now now’,,,,,,Text,1
DIMEV 5127,That Archangel shining full bright,,"carols, Annunciation",carols,— seven-line — ababbcc,"James Ryman, On the Annunciation — four stanzas rhyme royal and burden: ‘As gabriell archaungell seyde / Now criste is borne of a pure meyde’",,James Ryman,,,,Text,1
